date,new_cases,total_cases,new_deaths,total_deaths,new_tests,total_tests,cases_per_million,deaths_per_million,tests_per_million
2020-05-08,1401.0,215858.0,274.0,29958.0,45428.0,673675.0,977.2091182287356,135.62263508369605,3049.788994258927
2020-05-09,1327.0,217185.0,243.0,30201.0,36091.0,709766.0,983.2165698862583,136.7227185447194,3213.1762872292747
2020-05-10,1083.0,218268.0,194.0,30395.0,31384.0,741150.0,988.1194109903254,137.60097447656523,3355.2545561212805
2020-05-11,802.0,219070.0,165.0,30560.0,25823.0,766973.0,991.7501391209457,138.3479447278774,3472.1576639978507
2020-05-12,744.0,219814.0,179.0,30739.0,39620.0,806593.0,995.1182958904988,139.1582942732403,3651.521066161414
2020-05-13,1402.0,221216.0,172.0,30911.0,37049.0,843642.0,1001.4652794804362,139.93695417157784,3819.2453136818044
2020-05-14,888.0,222104.0,195.0,31106.0,41131.0,884773.0,1005.4853375602252,140.81973719585585,4005.4491525104145
2020-05-15,992.0,223096.0,262.0,31368.0,39027.0,923800.0,1009.9762132529626,142.00583541309092,4182.127988861686
2020-05-16,789.0,223885.0,242.0,31610.0,40657.0,964457.0,1013.5480891819644,143.10139178168208,4366.185985877436
2020-05-17,875.0,224760.0,153.0,31763.0,33505.0,997962.0,1017.509295060135,143.7940369238079,4517.866217818128
2020-05-18,675.0,225435.0,145.0,31908.0,26101.0,1024063.0,1020.5650824518666,144.45046532647618,4636.027857390848
2020-05-19,451.0,225886.0,99.0,32007.0,40226.0,1064289.0,1022.6068011387865,144.8986474772635,4818.134677568321
2020-05-20,813.0,226699.0,162.0,32169.0,38617.0,1102906.0,1026.287327286161,145.63203645127905,4992.957406022394
2020-05-21,665.0,227364.0,161.0,32330.0,40644.0,1143550.0,1029.2978437535705,146.36089833286246,5176.956550836525
2020-05-22,642.0,228006.0,156.0,32486.0,42987.0,1186537.0,1032.2042370950398,147.06712475228485,5371.562673219289
2020-05-23,652.0,228658.0,130.0,32616.0,42579.0,1229116.0,1035.155901360831,147.6556467684702,5564.3217418897175
2020-05-24,669.0,229327.0,119.0,32735.0,34206.0,1263322.0,1038.1845261979693,148.1943707679014,5719.175465625378
2020-05-25,531.0,229858.0,50.0,32785.0,20676.0,1283998.0,1040.5884122794648,148.42072538951115,5812.77762875344
2020-05-26,300.0,230158.0,92.0,32877.0,33944.0,1317942.0,1041.9465400091233,148.83721789327308,5966.445254271865
2020-05-27,397.0,230555.0,78.0,32955.0,37299.0,1355241.0,1043.7437957047046,149.1903311029843,6135.301274900305
2020-05-28,584.0,231139.0,117.0,33072.0,39838.0,1395079.0,1046.3876176851065,149.7200009175511,6315.651583214087
2020-05-29,593.0,231732.0,70.0,33142.0,38233.0,1433312.0,1049.072183497398,150.03689738780474,6488.735908174195
2020-05-30,516.0,232248.0,87.0,33229.0,36051.0,1469363.0,1051.4081631924107,150.4307544294057,6651.942117447255
2020-05-31,416.0,232664.0,111.0,33340.0,28948.0,1498311.0,1053.2914336442038,150.93326168937935,6782.992389174435
2020-06-01,355.0,233019.0,75.0,33415.0,18053.0,1516364.0,1054.898551457633,151.27279362179397,6864.719988852849
2020-06-02,178.0,233197.0,60.0,33475.0,25628.0,1541992.0,1055.7043739105636,151.54441916772566,6980.7403137051415
2020-06-03,318.0,233515.0,55.0,33530.0,20035.0,1562027.0,1057.1439893040017,151.79340925149637,7071.440610584167
2020-06-04,321.0,233836.0,71.0,33601.0,27451.0,1589478.0,1058.5971859747362,152.11483281418222,7195.713824940351
2020-06-05,177.0,234013.0,88.0,33689.0,40470.0,1629948.0,1059.3984813352347,152.5132169482154,7378.92525567128
2020-06-06,518.0,234531.0,85.0,33774.0,34036.0,1663984.0,1061.7435152151118,152.89801980495193,7533.009373693467
2020-06-07,270.0,234801.0,72.0,33846.0,27894.0,1691878.0,1062.9658301718043,153.22397046006998,7659.288089997112
2020-06-08,197.0,234998.0,53.0,33899.0,16301.0,1708179.0,1063.8576673809469,153.46390635897632,7733.084223734322
2020-06-09,280.0,235278.0,65.0,33964.0,32200.0,1740379.0,1065.1252532619615,153.75816736706898,7878.856600050999
2020-06-10,283.0,235561.0,79.0,34043.0,37865.0,1778244.0,1066.4064204202725,154.1158076692124,8050.274954996061
2020-06-11,202.0,235763.0,71.0,34114.0,32991.0,1811235.0,1067.320893091576,154.4372312318982,8199.628261426604
2020-06-12,379.0,236142.0,53.0,34167.0,37651.0,1848886.0,1069.0366611233778,154.67716713080455,8370.077818591177
2020-06-13,163.0,236305.0,56.0,34223.0,32880.0,1881766.0,1069.7745771898255,154.93068430700748,8518.928617761745
2020-06-14,346.0,236651.0,78.0,34301.0,29545.0,1911311.0,1071.340951171365,155.28379751671866,8652.681563670945
2020-06-15,338.0,236989.0,44.0,34345.0,17463.0,1928774.0,1072.871108413447,155.48298958373525,8731.738178814365
2020-06-16,301.0,237290.0,26.0,34371.0,27762.0,1956536.0,1074.2337632355375,155.60069398697232,8857.419318916962
2020-06-17,210.0,237500.0,34.0,34405.0,33957.0,1990493.0,1075.1844526462985,155.75461512966694,9011.145796637005
2020-06-18,328.0,237828.0,43.0,34448.0,32921.0,2023414.0,1076.6693389640584,155.94928010425133,9160.182206597294
2020-06-19,331.0,238159.0,66.0,34514.0,28570.0,2051984.0,1078.167806559115,156.2480682047762,9289.521237385105
2020-06-20,297.5,238456.5,47.0,34561.0,29875.0,2081859.0,1079.514616557693,156.46084154908937,9424.768123796928
2020-06-21,264.0,238720.5,49.0,34610.0,24581.0,2106440.0,1080.7097689597924,156.6826690782669,9536.048582872712
2020-06-22,224.0,238944.5,24.0,34634.0,16152.0,2122592.0,1081.7238376646042,156.79131929663959,9609.170179837525
2020-06-23,221.0,239165.5,23.0,34657.0,23225.0,2145817.0,1082.7243250921192,156.8954424225801,9714.311901575253
2020-06-24,113.0,239278.5,18.0,34675.0,30237.0,2176054.0,1083.2358865369572,156.97693008635957,9851.197595447531
2020-06-25,577.0,239855.5,-31.0,34644.0,29421.0,2205475.0,1085.8480188703338,156.83659022096154,9984.389181895138
2020-06-26,296.0,240151.5,34.0,34678.0,28331.0,2233806.0,1087.1880382302634,156.99051136365617,10112.646237591653
2020-06-27,255.0,240406.5,30.0,34708.0,29721.0,2263527.0,1088.3424468004732,157.12632413662203,10247.19595176892
2020-06-28,175.0,240581.5,8.0,34716.0,21183.0,2284710.0,1089.1346879761072,157.1625408760796,10343.093350760104
2020-06-29,174.0,240755.5,22.0,34738.0,15484.0,2300194.0,1089.9224020593092,157.26213690958787,10413.19084998021
2020-06-30,126.0,240881.5,6.0,34744.0,28471.0,2328665.0,1090.4928157057657,157.28929946418103,10542.081698617232
2020-07-01,142.0,241023.5,23.0,34767.0,29325.0,2357990.0,1091.1356628311373,157.39342259012153,10674.838684191349
2020-07-02,182.0,241205.5,21.0,34788.0,29147.0,2387137.0,1091.959593653797,157.4884915311976,10806.789847312535
2020-07-03,201.0,241406.5,30.0,34818.0,25680.0,2412817.0,1092.869539232668,157.62430430416347,10923.045580971302
2020-07-04,223.0,241629.5,15.0,34833.0,28946.0,2441763.0,1093.8790808450476,157.6922106906464,11054.086798513616
2020-07-05,235.0,241864.5,21.0,34854.0,21166.0,2462929.0,1094.9429475666134,157.78727963172247,11149.907236933454
2020-07-06,192.0,242056.5,7.0,34861.0,13771.0,2476700.0,1095.8121493135948,157.81896927874786,11212.249826817211
2020-07-07,208.0,242264.5,8.0,34869.0,22490.0,2499190.0,1096.7537845394913,157.85518601820542,11314.064135617275
2020-07-08,137.0,242401.5,30.0,34899.0,28679.0,2527869.0,1097.373996202702,157.99099879117125,11443.896619480194
